n,avg,var
50,0.79,1.90
100,0.87,2.60
150,1.01,3.54
200,1.00,4.17
250,0.89,3.31
300,1.05,3.86
350,1.39,8.43
400,1.05,6.44
450,0.66,1.20
500,0.80,1.84
550,0.99,3.03
600,1.26,5.56
650,1.66,11.26
700,1.68,15.13
750,1.00,8.07
800,0.58,0.91
850,0.64,1.10
900,0.70,1.34
950,0.78,1.67
1000,0.86,2.11
1050,0.96,2.73
1100,1.08,3.55
1150,1.22,4.85
1200,1.39,6.80
1250,1.61,10.31
1300,1.89,15.52
1350,2.25,25.41
1400,1.78,22.15
1450,0.83,7.06
1500,0.55,0.82
1550,0.58,0.91
1600,0.61,0.99
1650,0.64,1.09
1700,0.67,1.21
1750,0.70,1.33
1800,0.74,1.49
1850,0.78,1.66
1900,0.82,1.86
1950,0.86,2.10
2000,0.91,2.35
2050,0.96,2.67
2100,1.01,3.03
2150,1.07,3.48
2200,1.14,4.04
2250,1.21,4.67
2300,1.29,5.51
2350,1.38,6.59
2400,1.49,7.97
2450,1.61,10.05
2500,1.75,12.86
2550,1.90,16.00
2600,2.09,20.66
2650,2.30,27.08
2700,2.51,35.18
2750,2.25,35.14
2800,1.20,16.20
2850,0.53,0.75
2900,0.54,0.79
2950,0.55,0.82
3000,0.56,0.85
3050,0.58,0.89
3100,0.59,0.94
3150,0.61,0.98
3200,0.62,1.03
3250,0.64,1.08
3300,0.65,1.13
3350,0.67,1.19
3400,0.68,1.25
3450,0.70,1.34
3500,0.72,1.38
3550,0.74,1.47
3600,0.75,1.55
3650,0.77,1.63
3700,0.79,1.72
3750,0.81,1.83
3800,0.84,1.93
3850,0.85,2.03
3900,0.88,2.18
3950,0.90,2.30
4000,0.93,2.45
4050,0.95,2.59
4100,0.98,2.80
4150,1.01,2.97
4200,1.04,3.18
4250,1.07,3.39
4300,1.10,3.64
4350,1.13,3.86
4400,1.17,4.24
4450,1.20,4.58
4500,1.24,4.88
4550,1.28,5.35
4600,1.32,5.81
4650,1.37,6.32
4700,1.42,6.99
4750,1.47,7.67
4800,1.53,8.48
4850,1.60,9.76
4900,1.66,10.71
4950,1.72,11.97
5000,1.81,13.65
5050,1.89,15.76
5100,1.99,18.38
5150,2.08,20.77
5200,2.20,23.56
5250,2.31,28.10
5300,2.43,32.09
5350,2.56,37.58
5400,2.65,42.39
5450,2.76,48.08
5500,2.24,40.96
5550,1.08,15.44
5600,0.52,0.73
5650,0.53,0.75
5700,0.53,0.77
5750,0.54,0.78
5800,0.54,0.80
5850,0.55,0.81
5900,0.56,0.83
5950,0.56,0.86
6000,0.57,0.87
6050,0.58,0.90
6100,0.58,0.91
6150,0.59,0.94
6200,0.60,0.96
6250,0.61,0.98
6300,0.61,1.01
6350,0.62,1.03
6400,0.63,1.05
6450,0.64,1.09
6500,0.64,1.10
6550,0.65,1.14
6600,0.66,1.16
6650,0.67,1.19
6700,0.68,1.23
6750,0.68,1.26
6800,0.69,1.28
6850,0.70,1.32
6900,0.71,1.35
6950,0.72,1.39
7000,0.73,1.42
7050,0.73,1.47
7100,0.74,1.50
7150,0.76,1.55
7200,0.76,1.58
7250,0.78,1.63
7300,0.78,1.67
7350,0.79,1.72
7400,0.80,1.77
7450,0.81,1.79
7500,0.82,1.87
7550,0.83,1.92
7600,0.84,1.97
7650,0.86,2.04
7700,0.86,2.10
7750,0.88,2.14
7800,0.89,2.22
7850,0.90,2.27
7900,0.91,2.36
7950,0.93,2.44
8000,0.94,2.52
8050,0.95,2.59
8100,0.96,2.64
8150,0.98,2.77
8200,0.99,2.84
8250,1.01,2.96
8300,1.02,3.04
8350,1.03,3.15
8400,1.05,3.24
8450,1.06,3.34
8500,1.08,3.49
8550,1.10,3.61
8600,1.11,3.77
8650,1.12,3.80
8700,1.14,3.97
8750,1.16,4.15
8800,1.18,4.32
8850,1.20,4.50
8900,1.21,4.66
8950,1.24,4.93
9000,1.26,5.06
9050,1.28,5.31
9100,1.30,5.57
9150,1.32,5.79
9200,1.34,6.01
9250,1.37,6.37
9300,1.39,6.51
9350,1.42,6.84
9400,1.44,7.18
9450,1.47,7.61
9500,1.50,7.96
9550,1.53,8.41
9600,1.56,8.81
9650,1.59,9.33
9700,1.63,9.96
9750,1.66,10.51
9800,1.69,11.09
9850,1.73,11.72
9900,1.77,12.53
9950,1.81,13.33
10000,1.85,14.51
10050,1.90,15.28
10100,1.94,16.55
10150,2.00,18.14
10200,2.05,19.01
10250,2.09,20.58
10300,2.14,22.18
10350,2.19,23.47
10400,2.26,25.88
10450,2.32,27.80
10500,2.37,29.64
10550,2.45,32.62
10600,2.49,34.69
10650,2.55,36.98
10700,2.59,40.03
10750,2.64,42.38
10800,2.69,45.83
10850,2.72,48.29
10900,2.71,49.78
10950,2.72,52.54
11000,1.68,29.95
11050,0.58,2.45
11100,0.52,0.72
11050,0.58,2.45
11100,0.52,0.72
11150,0.52,0.73
11200,0.52,0.73
11250,0.53,0.75
11300,0.53,0.75
11350,0.53,0.76
11400,0.53,0.77
11450,0.54,0.78
11500,0.54,0.79
11550,0.54,0.79
11600,0.55,0.81
11650,0.55,0.81
11700,0.55,0.82
11750,0.56,0.84
11800,0.56,0.84
11850,0.56,0.86
11900,0.57,0.86
11950,0.57,0.88
12000,0.57,0.88
